elecnum,distname,distcode,munname1,munname2,muncode,nkneeds
28,宮城２区,402,登米郡,米山町,NA,NA
28,宮城２区,402,登米郡,豊里町,NA,NA
28,宮城２区,402,桃生郡,河南町,NA,NA
28,宮城２区,402,桃生郡,河北町,NA,NA
28,宮城２区,402,桃生郡,桃生町,NA,NA
28,宮城２区,402,桃生郡,北上町,NA,NA
28,宮城２区,402,桃生郡,鳴瀬町,NA,NA
28,宮城２区,402,桃生郡,矢本町,NA,NA
28,宮城２区,402,桃生郡,雄勝町,NA,NA
28,宮城２区,402,本吉郡,歌津村,NA,NA
28,宮城２区,402,本吉郡,志津川町,NA,NA
28,宮城２区,402,本吉郡,津山町,NA,NA
28,宮城２区,402,本吉郡,唐桑町,NA,NA
28,宮城２区,402,本吉郡,本吉町,NA,NA
28,秋田１区,501,河辺郡,河辺町,NA,NA
28,秋田１区,501,河辺郡,雄和村,NA,NA
28,秋田１区,501,山本郡,琴丘町,NA,NA
28,秋田１区,501,山本郡,山本村,NA,NA
28,秋田１区,501,山本郡,藤里村,NA,NA
28,秋田１区,501,山本郡,二ツ井町,NA,NA
28,秋田１区,501,山本郡,八森町,NA,NA
28,秋田１区,501,山本郡,八竜村,NA,NA
28,秋田１区,501,山本郡,峰浜村,NA,NA
28,秋田１区,501,鹿角郡,花輪町,NA,NA
28,秋田１区,501,鹿角郡,十和田町,NA,NA
28,秋田１区,501,鹿角郡,小坂町,NA,NA
28,秋田１区,501,鹿角郡,八幡平村,NA,NA
28,秋田１区,501,鹿角郡,尾去沢町,NA,NA
28,秋田１区,501,秋田市,秋田市,NA,NA
28,秋田１区,501,大館市,大舘市,NA,NA
28,秋田１区,501,男鹿市,男鹿市,NA,NA
28,秋田１区,501,南秋田郡,井川村,NA,NA
28,秋田１区,501,南秋田郡,琴浜村,NA,NA
28,秋田１区,501,南秋田郡,五城目町,NA,NA
28,秋田１区,501,南秋田郡,昭和町,NA,NA
28,秋田１区,501,南秋田郡,天王町,NA,NA
28,秋田１区,501,南秋田郡,八郎潟町,NA,NA
28,秋田１区,501,南秋田郡,飯田川町,NA,NA
28,秋田１区,501,能代市,能代市,NA,NA
28,秋田１区,501,北秋田郡,阿仁町,NA,NA
28,秋田１区,501,北秋田郡,花矢町,NA,NA
28,秋田１区,501,北秋田郡,合川町,NA,NA
28,秋田１区,501,北秋田郡,上小阿仁村,NA,NA
28,秋田１区,501,北秋田郡,森吉町,NA,NA
28,秋田１区,501,北秋田郡,鷹巣町,NA,NA
28,秋田１区,501,北秋田郡,田代町,NA,NA
28,秋田１区,501,北秋田郡,比内町,NA,NA
28,秋田２区,502,横手市,横手市,NA,NA
28,秋田２区,502,仙北郡,角館町,NA,NA
28,秋田２区,502,仙北郡,協和村,NA,NA
28,秋田２区,502,仙北郡,神岡町,NA,NA
28,秋田２区,502,仙北郡,西仙北町,NA,NA
28,秋田２区,502,仙北郡,西木村,NA,NA
28,秋田２区,502,仙北郡,仙南村,NA,NA
28,秋田２区,502,仙北郡,仙北村,NA,NA
28,秋田２区,502,仙北郡,千畑村,NA,NA
28,秋田２区,502,仙北郡,太田村,NA,NA
28,秋田２区,502,仙北郡,中仙町,NA,NA
28,秋田２区,502,仙北郡,田沢湖町,NA,NA
28,秋田２区,502,仙北郡,南外村,NA,NA
28,秋田２区,502,仙北郡,六郷町,NA,NA
28,秋田２区,502,大曲市,大曲市,NA,NA
28,秋田２区,502,湯沢市,湯沢市,NA,NA
28,秋田２区,502,平鹿郡,山内村,NA,NA
28,秋田２区,502,平鹿郡,十文字町,NA,NA
28,秋田２区,502,平鹿郡,増田町,NA,NA
28,秋田２区,502,平鹿郡,大森町,NA,NA
28,秋田２区,502,平鹿郡,大雄村,NA,NA
28,秋田２区,502,平鹿郡,平鹿町,NA,NA
